URL: /
Timestamp: Mon Oct 17 2022 18:41:58 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Mon Oct 17 2022 18:41:58 GMT-0400 (Eastern Daylight Time)

::1 - - [02/Nov/2022:21:34:50 +0000] "GET /movies HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:35:26 +0000] "GET /users HTTP/1.1" 201 432
::1 - - [02/Nov/2022:21:35:34 +0000] "GET /movies HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:36:02 +0000] "GET /movies/director HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:37:53 +0000] "GET / HTTP/1.1" 200 18
::1 - - [02/Nov/2022:21:37:57 +0000] "GET /movies HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:39:52 +0000] "GET /movies/Superbad HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:40:00 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:48:00 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:48:04 +0000] "GET /Movies/ HTTP/1.1" 500 42
::1 - - [02/Nov/2022:21:48:08 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [03/Nov/2022:18:27:21 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [03/Nov/2022:18:27:22 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [03/Nov/2022:18:27:31 +0000] "GET /movies/ HTTP/1.1" 500 42
::1 - - [03/Nov/2022:18:27:36 +0000] "GET / HTTP/1.1" 200 18
::1 - - [03/Nov/2022:18:27:41 +0000] "GET /movies HTTP/1.1" 500 42
::1 - - [03/Nov/2022:18:36:56 +0000] "GET /movies HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:39:04 +0000] "GET /movies HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:39:58 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:40:00 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:40:16 +0000] "GET /movies/Good%20Will%20Hunting HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:40:58 +0000] "GET /movies/superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:03 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:09 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:10 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:39 +0000] "GET /movies/comedy HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:40 +0000] "GET /movies/comedy HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:41:48 +0000] "GET /movies/Comedy HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:47:11 +0000] "GET /movies/ HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:47:39 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:47:40 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:47:40 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:47:41 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:48:24 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:48:32 +0000] "GET /movies/ HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:48:46 +0000] "GET /movies/Genre HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:48:51 +0000] "GET /movies/Genre/Comedy HTTP/1.1" 200 163
::1 - - [03/Nov/2022:18:48:56 +0000] "GET /movies/Title HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:49:00 +0000] "GET /movies/Title/Superbad HTTP/1.1" 404 160
::1 - - [03/Nov/2022:18:49:06 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:50:47 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:50:48 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:50:49 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:51:26 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:55:47 +0000] "GET /movies/Comedy HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:55:54 +0000] "GET /movies/genre/Comedy HTTP/1.1" 200 163
::1 - - [03/Nov/2022:18:55:58 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 158
::1 - - [03/Nov/2022:18:56:03 +0000] "GET /movies/directors HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:56:05 +0000] "GET /movies/director HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:56:09 +0000] "GET /movies/director HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:56:21 +0000] "GET /movies/director/Christopher%20Nolan HTTP/1.1" 200 134
::1 - - [03/Nov/2022:18:56:30 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
::1 - - [03/Nov/2022:18:57:36 +0000] "GET /movies/ HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:57:56 +0000] "GET /director/Martin%20Scorsese HTTP/1.1" 404 165
::1 - - [03/Nov/2022:18:58:04 +0000] "GET /directors/Martin%20Scorsese HTTP/1.1" 404 166
::1 - - [03/Nov/2022:18:58:13 +0000] "GET / HTTP/1.1" 200 18
::1 - - [03/Nov/2022:18:58:15 +0000] "GET /movies HTTP/1.1" 200 6574
::1 - - [03/Nov/2022:18:58:17 +0000] "GET /genre HTTP/1.1" 404 144
::1 - - [03/Nov/2022:18:58:19 +0000] "GET /genres HTTP/1.1" 404 145
::1 - - [03/Nov/2022:18:58:25 +0000] "GET /genre/Comedy HTTP/1.1" 404 151
::1 - - [03/Nov/2022:18:58:30 +0000] "GET /genres/Comedy HTTP/1.1" 404 152
::1 - - [03/Nov/2022:19:05:29 +0000] "GET /movies/Superbad HTTP/1.1" 200 4
